1	-1	-1	39
1	27	-1	39
1	-1	-1	39
1	60	-1	39
1	-1	-1	39
1	25	-1	39
1	-1	-1	39
1	55	-1	39
1	-1	-1	39
1	39	-1	39
1	-1	-1	39
1	19	-1	39
1	-1	-1	39
1	15	-1	39
1	-1	-1	39
1	49	-1	39
1	-1	-1	39
1	31	-1	39
1	-1	-1	39
1	29	-1	39
1	-1	-1	39
1	1	-1	39
1	-1	-1	39
1	35	-1	39
1	-1	-1	39
1	41	-1	39
1	-1	-1	39
1	33	-1	39
1	-1	-1	39
1	6	-1	39
1	-1	-1	39
1	12	-1	39
1	-1	-1	39
1	4	-1	39
1	40	-1	39
1	23	-1	39
1	52	-1	39
1	10	-1	39
1	50	-1	39
1	47	-1	39
1	45	-1	39
1	21	-1	39
1	57	-1	39
1	8	-1	39
2	3	x226	25
2	45	-1	25
2	11	x227	25
2	47	-1	25
2	22	x228	25
2	54	-1	25
2	4	x229	25
2	41	-1	25
2	12	x230	25
2	43	-1	25
2	23	x231	25
2	33	-1	25
2	19	x232	25
2	39	-1	25
2	15	x233	25
2	37	-1	25
2	14	x234	25
2	6	-1	25
2	60	x235	25
2	9	-1	25
2	0	x236	25
2	25	-1	25
2	26	x237	25
2	29	-1	25
2	49	x238	25
2	7	-1	25
2	55	x239	25
2	1	-1	25
2	51	x240	25
2	27	-1	25
2	20	x241	25
2	13	-1	25
2	16	x242	25
2	31	-1	25
2	28	x243	25
2	35	-1	25
2	59	x244	25
2	57	-1	25
2	56	x245	25
2	53	-1	25
2	50	x246	25
2	2	-1	25
2	52	x247	25
2	17	-1	25
2	58	x248	25
2	21	-1	25
2	46	x249	25
2	8	-1	25
2	40	x250	25
2	10	-1	25
2	48	x251	25
2	5	-1	25
2	44	x252	25
2	24	-1	25
2	42	x253	25
2	18	-1	25
2	36	x254	25
2	30	-1	25
2	34	x255	25
2	32	-1	25
2	38	x256	25
1	5	-1	25
